,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
FA 20:0,15097,14523,17241,7836,16423,23086,26819,38009,13439,12779,18499,9355,8101,10491,7656,11246,12959,10237,14152,10854,12882,14424,12739,15839,12406,15401,10726,15160,7205,15230,25889,13928,10813,19667,22780,12467,19964,11546,14497,16590,16816,26426,13962,32485,10853,12010,9292,14055,14455,16328,14091,10053,12175,12992,11824,21288,15112,15650,13703,11096,11301,25267,11065,16375,11599,12671,29748,11962,7884,17577,11694,13921,10690,8861,18027,15791,10173,10492,6664,11752,14048,13796,13658,15784,11633,9714,9364,19679,11887,27652,15325,20256,15552,57795,14021,14580,15339,19933,16445,25783,17222,24946,14974,13002,10802,24918,41459,22253,17899,14268,19679,19881,10442,8326,12772,17105,14364,29596,15401,13561,15055,13398,9692,18272,14562,17315,32086,16599,13218,19268,13231,17391,13496,23225,17555,22911,20756,45255,17245,13636,13387,10329,19945,13486,17518,27662,11587,25542,22982,26074,38375,20980,41766,25297,29135,21294,26766,31277,21689,28610,14034,19252,13841,11489,29973,19784,8207,14182,23862,16334,14867,253276,23878,53815,27887,18725,23465,20037,16802,20977,25469,36149,31510,25141,20444,21871,28130,18002,18074,23435,15483,24544,18515,20759,15738,28952,14898,63140,21488,18113,38119,11976,13593,17872,27919,24962,18351,17363,51906,11821,20640,30646,13389,20624,22172,17012,19347,20340,14533,20261,12445,26328,26029,23592,44373,15138,29572,15006,36538,20452,75915,7891,14342,13345,32093,12966,26753,14899,15315,22007,14118,17735,12838,13097,55834,4878,10103,11044,16473,33355,15301,15729,15076,21790,25921,15312,12159,15322,17707,31852,19959,9917,22366,10605,17803,13916,11880
LPA 20:4,5829,116665,87922,66088,155323,6109,4334,88958,123165,194227,134298,51962,75829,153221,43664,122213,154004,169886,89956,77193,146123,138324,3329,109669,159403,68540,83704,150437,102561,96799,92491,129485,67613,135588,129099,149269,2256,88970,113894,110060,74107,160123,171603,7519,172668,138981,145183,159331,108610,146299,174049,135320,169521,4346,143620,124320,120696,5957,232002,92439,109904,120090,110643,3073,138929,181175,134005,61664,98145,150549,112852,83455,178452,3740,137993,196930,134800,126311,135434,126908,109234,118610,116922,199783,106474,146725,173147,164049,129506,52182,127804,117412,170977,150550,160931,135165,180498,173479,168905,129160,195139,130322,165058,144102,115563,190092,223702,182544,138796,146800,178964,136362,112825,114001,107408,128323,132366,181979,116420,135777,141151,152376,111776,114763,124179,133469,177891,125397,115038,152697,137432,133415,175135,173725,164684,125608,195150,72642,147332,112086,158452,157867,157690,167711,172561,124292,158465,204384,102899,160184,210773,242357,121120,239791,275504,63469,187964,149984,119641,130203,160330,183544,178356,167381,174035,156121,102597,225289,186247,122950,166652,231448,4658,175982,255878,209848,194590,114154,161367,229377,173978,199946,225352,200843,261154,142317,183389,199066,217724,111102,166339,163057,8439,136876,188813,164748,120960,236363,150945,158011,199546,96367,127314,185164,148099,154362,100122,207164,245105,201609,169183,188193,193201,117112,120722,162312,180660,125702,223386,204147,188667,235397,172071,160405,165976,181629,170922,206910,156395,204335,237286,126680,79187,135760,126412,177056,215593,144935,157700,147456,191232,195174,135633,143435,187085,156371,150493,144990,88730,127458,215468,105163,136650,128368,203088,104388,116897,163008,178923,155475,206028,117361,217413,182171,46379,268652,210894
LPA 20:3,11.2564621,1466,896,1560,2072,11.2564621,155,425,1197,6497,975,369,899,2797,151,1387,1889,2562,1299,754,4841,1750,11.2564621,3061,3560,745,624,2338,2228,9178,926,2119,411,2738,1555,1548,141,2708,1170,3996,465,2030,2979,391,4928,1789,4910,3664,686,854,8178,1894,3330,11.2564621,1140,5084,2085,11.2564621,2674,1496,2457,2873,2037,11.2564621,3168,3751,1894,295,2425,1700,777,352,7016,11.2564621,1824,2177,2175,2971,3314,2300,468,2828,829,5343,4241,5794,3955,2225,4028,2374,10542,572,1990,5802,866,5094,8947,4438,8693,2775,1546,1450,3637,1021,1091,7863,6336,1179,1760,1137,5188,2286,1275,687,1735,1559,1102,7653,3818,2536,1884,1157,558,218,2967,1194,14592,1318,1920,2599,2862,1543,3410,1965,3258,2118,1429,888,1878,231,7411,2738,1724,1640,1202,113,2944,2819,1250,1870,4791,4039,3515,3319,3801,3878,13097,3760,501,1930,2358,2732,2344,1873,3030,1458,282,6647,5580,2513,3505,1847,11.2564621,2886,6999,4159,5921,817,4424,2629,5199,4970,4613,2833,8706,12855,3046,3746,4831,902,1374,738,11.2564621,3051,1518,2905,2212,1716,5731,2141,3037,450,918,1442,1434,2661,148,1011,3407,8795,3394,2232,3875,1249,2212,2268,3421,1000,1081,3140,2207,5102,6759,10789,5474,2423,3713,4970,2036,2565,7211,4386,5624,1872,1741,2154,7104,2651,1283,1518,5836,7107,3646,2497,6863,3402,3070,6965,2746,586,2560,331,1985,1550,3257,3787,612,6541,4544,3443,5922,1779,5501,6699,2713,6201,3936
LPA 18:2,18474,57670,38525,66750,98709,18275,18031,55395,72527,153116,47637,59114,48910,64438,41182,104084,42593,96021,38907,43009,104578,50064,19183,50615,79986,55982,44880,49008,50359,135604,39167,58907,65203,86279,57642,57033,17370,46456,60579,66961,38416,58112,55384,23358,107222,37696,95644,78285,46324,97003,141434,61037,98316,21718,96075,61023,72822,19521,118287,83428,64476,60270,59394,18045,34686,84328,52237,34539,72756,44924,39587,39732,112892,17761,71228,156462,63507,82839,80177,56623,41116,43283,60951,106255,63819,78437,102899,100110,94098,91539,182426,70319,96929,90548,53363,95258,211204,91244,103944,58493,93167,69837,99875,63312,59269,123721,271347,59454,50944,54171,202101,101079,60188,44239,80309,57007,91795,174324,145167,91643,83812,66773,47994,75519,79886,54448,237138,55170,77060,68208,68008,66342,124912,45958,83797,67687,70653,73950,49922,66950,158792,85660,85285,63271,130298,91432,66764,89052,78283,99984,76425,127487,84829,69535,73820,143783,175321,84007,34845,53208,95991,84357,70156,76326,74745,59139,53961,86062,119388,77620,73379,143041,17006,75716,170174,87939,137333,83005,94842,64638,47715,75230,93550,58976,108611,225760,147497,95419,89242,88267,86758,47436,24707,60387,80779,67445,78250,98796,103721,77134,117086,76174,53964,68015,85922,57678,54057,86197,74510,225084,222526,75138,139426,79972,78516,55886,80629,117025,61182,72647,65518,121881,258482,216178,118366,81914,164534,103235,54121,65958,132059,70084,210008,59572,94528,45551,197157,65910,49334,68385,145641,103090,86507,63367,111063,88666,107328,132692,138765,71014,96747,66121,77936,56045,80181,72020,56793,83194,224297,63466,100730,80709,154581,104590,78554,54586,44283
LPA 18:1,1497,6584,4495,6037,16525,499,2735,5087,8918,19579,9617,7559,5016,16021,1654,8598,5597,15738,7127,4810,21171,9932,1254,5639,17868,6233,7359,4855,4306,24950,3077,12197,5095,6783,11632,14997,870,6325,5608,10948,2936,5604,8609,1802,21879,5053,19056,21468,7758,10934,23389,9977,26396,2747,21533,12070,10599,2833,11105,8719,6274,7696,11033,1337,5309,24180,2955,4366,8480,7558,4661,3625,24432,1276,10931,29619,9853,10490,16202,7871,7137,4608,3278,25740,11870,19867,11368,16976,9297,31113,39215,5442,15398,21921,15957,9515,40812,14786,12512,11832,21501,15702,21513,9845,15136,33463,62002,11550,17555,13108,19451,17732,9124,9873,14706,10934,14458,31431,19825,9725,11459,9013,9620,13409,13601,4896,58024,12658,13267,8610,8268,6305,11961,8360,15808,7291,8892,5259,9001,8816,43967,17456,9745,16676,17266,15058,14509,20798,9663,20683,16776,12222,9593,10303,19401,32191,49953,17647,6472,12852,11608,16628,15600,17226,15564,10296,8626,18226,20319,15680,16098,32218,1635,17084,30089,15251,20889,15781,21322,21492,12646,22233,18463,15602,33448,44860,27814,20626,10562,14948,18333,16591,1555,16560,9082,13010,7154,21500,8187,15986,23362,8413,10641,7117,12898,13250,4024,16316,26517,47737,45220,15062,27256,17442,17699,16141,9860,20145,15331,19832,15309,37890,50338,53515,28320,12530,21519,21607,18186,16459,21940,6670,61033,10639,14634,11696,29735,12963,11888,22638,30764,24844,18579,18129,23276,21215,10114,12137,30107,15214,19842,13641,16897,12718,21849,12321,9431,25059,31428,13215,19800,11280,8193,25167,5076,15033,8486
LPA 16:0,3012,18595,6424,9658,33581,6594,3092,19741,15648,80719,8391,9694,16653,31998,2934,26745,14259,31273,6453,7725,42192,12349,4737,10639,18725,13623,10115,5055,10020,99540,10153,25827,11284,27787,21620,21624,3726,11984,11212,4872,5885,21808,13664,11101,63807,20106,27334,37407,12973,24898,55011,20080,42784,5950,48790,20337,17370,2782,49159,12391,11208,5916,16789,5961,8038,36438,9382,3150,13532,15722,6054,7705,50293,3157,9964,40449,10227,15823,28835,7975,7508,5386,13332,43208,11984,24605,41195,17603,28494,82755,108340,15715,32846,39576,13319,26456,84738,24853,48314,43365,23524,25205,38909,11168,23422,97418,126918,29694,18473,7005,51681,25174,11051,12532,27248,12939,25948,51087,21441,15908,21478,16449,3995,16408,22154,10038,115416,5443,17361,16266,20935,10308,26319,16489,17365,12593,30726,5182,20021,18435,51189,22399,20326,19204,24242,13314,12691,32663,48200,40682,56333,50119,35833,23769,53212,69416,72804,43476,8517,25595,55283,23848,30455,23617,26158,20640,16315,24186,35519,22975,31166,51700,4100,22197,64570,34755,49033,16583,36689,30000,21588,20636,30742,16956,55374,122605,62318,41955,42910,22613,18034,16278,1668,22764,18655,19118,27688,34604,42563,28388,25610,7849,8167,18972,22587,22131,9544,16179,33471,103901,59578,28813,67143,28884,37320,9280,33236,36445,13457,33641,21037,57300,79387,116440,84646,47783,11725,32321,21292,15101,55331,22557,108454,16648,22042,26844,60961,22593,8592,15270,49086,33439,27737,16670,49701,25429,24832,61589,55449,8944,39013,21090,27366,15819,31792,19512,14264,45006,62888,19621,39412,18185,44220,34418,30908,32258,12102
LPA 18:0,13.41326752,1816,580,885,2817,135,147,1759,2234,15681,203,1323,714,2395,213,5565,591,5261,172,403,3682,179,136,404,4754,923,717,262,773,15900,2941,2273,1521,3011,846,1964,13.41326752,797,178,799,254,4979,1808,1732,5758,1771,3129,9226,1140,2675,5009,1221,6056,13.41326752,3854,2587,1441,142,8616,997,1287,723,880,189,649,6488,559,487,1675,2223,294,183,9197,13.41326752,824,4679,686,332,3838,802,267,134,541,10110,1656,4586,4568,1291,5457,10865,16742,1453,2314,7439,1779,3233,7276,1921,5134,5272,4564,2399,4250,1498,1553,15586,31396,4774,3237,187,8337,2979,703,748,2454,559,2482,1203,2067,2469,1734,1550,1128,1022,1404,1384,15894,925,156,2419,2485,845,2648,640,1578,1741,2244,1606,1469,1915,7021,2124,834,1233,2356,411,1620,3532,5713,3268,6279,9407,3599,2986,6121,6525,12887,3458,687,1860,3846,1370,3906,1561,1593,808,493,2314,4875,2381,3853,11182,13.41326752,1725,8272,3496,4271,1757,3876,3898,662,4584,2649,2350,7907,27093,10060,4651,6245,1246,2825,1176,225,2077,2127,2871,2995,5745,4931,3509,5315,988,716,924,3216,2266,750,2688,2453,17606,11835,3715,5956,6455,4815,3572,4490,3923,3233,2179,3104,6496,12387,21602,14586,7235,2540,2170,1178,1433,4827,1116,12944,1253,1262,2064,11985,1719,664,1817,9007,4833,1860,3061,3813,3746,3508,10256,4307,134,4045,159,794,589,3982,1926,345,5570,5307,774,3240,2263,4325,2310,4308,3842,184
LPA 22:6,536,2893,1333,4351,6296,888,11.82942505,2935,4465,11640,1870,3228,4214,6079,2437,4955,2634,6718,2910,4543,6338,1566,792,1070,7869,2732,3807,1685,2468,4636,3448,5286,7939,6045,2368,6215,495,2319,1282,4485,2914,3723,4239,739,9933,4217,6031,7423,1250,7645,5201,4984,7547,163,4715,4025,1715,753,10323,3683,1936,1815,2792,118,2936,12781,4282,1595,5372,1962,2108,1117,10080,515,2122,8248,1288,1165,4541,4139,2422,1686,2280,8192,1448,6467,7497,11034,7552,6384,17616,1200,7074,5980,3903,7735,10308,4606,7672,2314,7229,4070,7727,1164,4251,11663,29875,7636,5724,3923,15271,4605,3291,658,7035,1460,4725,14444,2503,1947,5890,5516,3350,3982,2782,6698,33301,6015,2377,2020,7027,3826,3337,5415,2204,3691,8180,2302,5047,4228,12440,2758,5768,5662,2889,2571,6414,12317,6125,4505,5743,8598,6765,6286,9093,11635,12015,2123,3752,1011,6903,5253,6183,4964,6192,3270,4854,9946,9223,4853,3276,10844,891,4420,8197,7038,4720,5450,3783,4817,2646,3526,3463,3819,9781,16776,14529,6690,6654,2108,6638,3509,410,6051,4648,6252,5581,7849,5821,6333,5540,1697,2137,3401,2864,5777,1723,7290,3234,26902,15089,4185,12497,2592,6065,2203,6961,5919,8661,4766,2872,10408,37994,28007,16101,3335,7523,6274,1677,2461,6786,2472,7724,5658,1777,5334,12379,3060,2615,5195,17591,10682,7597,4549,11494,3296,4034,14564,9332,4249,5861,6463,3214,1514,6114,3811,2389,11306,17333,5805,7454,6913,8891,6495,13004,5563,3283
LPS 18:1,378,477,1104,317,3515,483,607,243,679,4195,12.00755615,12.00755615,142,4486,153,3187,2964,6612,12.00755615,274,5238,151,133,495,7014,1453,330,447,266,7493,278,461,12.00755615,120,2359,1588,463,277,229,12.00755615,155,342,865,544,5971,1664,1271,4163,150,1593,3705,1025,3055,12.00755615,3055,614,351,140,7686,442,12.00755615,555,320,139,321,5745,302,12.00755615,898,178,1035,178,4905,147,331,5412,12.00755615,380,3670,1250,135,451,137,6314,151,5517,6418,517,4326,6469,1194,7384,1942,4667,2332,1679,7072,10202,7590,3620,5354,4459,4582,1949,3659,7662,14937,5336,4573,1801,7122,6454,2328,4432,1659,6112,3658,7987,5902,4285,2488,4819,1914,3287,4492,4986,3847,1544,4084,4214,5331,2492,5145,4861,8489,4430,2702,3768,5797,5077,3829,1725,5509,7454,7924,4829,1862,6085,4416,2004,6858,5056,4998,3376,9467,1257,13390,4508,1425,4234,3296,4907,1172,8177,8100,3013,2207,9894,7506,3065,8325,5991,139,6080,5417,5352,3825,2507,4006,5386,3998,6111,2296,6517,9084,836,6142,4829,3522,2250,5955,1647,12.00755615,10225,5072,4487,4170,7360,4334,4264,4238,4713,1856,9039,2314,8167,1444,11773,5692,7200,11567,6605,6236,5634,4020,6377,5010,5783,5749,7401,3957,12298,3368,6515,9911,3476,6184,4830,5230,9618,9082,3069,665,2110,2851,6125,8341,818,1546,1394,7188,6407,1570,6039,5487,4525,6626,2979,520,5043,6688,3717,1550,4403,8809,3311,1480,3942,6544,6480,5518,5590,8496,3332,10795,5999,1851
LPS 18:0,8413,4833,3944,5401,17775,15322,9278,8312,11719,18734,2130,622,3322,11261,335,14734,7713,16766,5156,1915,8943,7518,608,6909,9754,12205,2637,7392,3772,23599,9453,11554,5740,6286,8993,8309,15695,4620,5424,2704,2430,5149,10117,15823,10645,10855,13217,12527,3986,12690,17595,9926,8812,857,13552,10083,8912,1888,11330,2633,2298,9036,9882,10090,10780,19039,6003,2758,3378,6551,5600,2438,14532,2682,5824,15714,2368,2724,10988,9114,1885,5235,146,6748,5748,9405,15904,9960,10886,7422,135,13929,8026,16345,12448,7595,13834,13074,14848,15498,17397,12217,14807,14265,4221,11605,21240,20300,19445,7858,11145,23388,9531,10348,7703,15447,7045,13111,10268,12697,9287,14631,2640,14628,9928,8502,4606,8626,5112,13596,13911,6424,15018,9209,19846,10970,8644,8673,20878,11519,8739,8502,11934,11987,6195,11031,10646,11262,16798,16084,30028,31692,21094,15738,21850,301,20392,20920,10771,18711,16639,15749,11829,17983,12693,11076,12926,15528,15284,10572,16774,20199,15449,15447,13142,25091,13274,6575,7628,21528,21141,17775,22783,12329,18452,4450,7112,21102,23080,8980,14754,11466,6078,18157,18867,16079,6385,20672,17248,13441,19009,9972,5618,9190,12846,7677,2807,19032,13735,2773,6255,18642,16824,9538,17194,19948,21521,15506,15956,18182,13527,14369,5738,6731,16965,16570,14889,20184,9751,22548,24578,6066,1351,17654,8246,10653,33499,6463,8485,10217,8511,10032,7004,13592,9358,11374,10559,416,3.693375015,263,4025,7962,180,119,101,4245,7060,6310,10486,10308,6089,7587,21340,12093,20458,12699,10516
LPI 18:1,10383,11159,8616,17842,12900,7239,9795,12788,20945,7379,12358,5619,9906,7753,3882,8808,5097,5271,10067,7536,9884,7728,7370,19542,7962,6484,7497,17517,9521,16138,14486,10450,10751,16511,13275,10124,12797,5008,17820,22223,13588,7861,11655,15249,7822,7448,8560,12906,11065,7579,11104,7761,7739,4377,8462,14170,9733,13404,13472,7482,15692,33240,6284,16686,5844,10512,18456,8446,8032,7508,8242,12104,10369,4836,8737,9732,9111,6745,5085,15336,9302,14458,11463,8505,23513,6771,7687,14228,6925,9045,8704,25210,16199,34195,10912,15053,13429,16655,10639,17853,9612,11275,16509,20004,10013,18140,27107,20500,9739,12794,13070,17802,20677,10565,5941,11353,6395,15914,17381,12191,14989,7891,2430,17154,10807,14143,16886,15151,13130,8549,11755,7982,15413,22638,16826,17597,8467,23289,10194,14974,12893,8911,11017,11629,22542,14437,12898,18162,17272,14896,19396,21414,17410,16549,14113,12194,22095,15005,13226,5613,6633,16421,10130,9391,7455,9432,9014,5503,7232,16586,8969,51584,21307,17622,16759,7180,10857,8238,4107,12158,19729,28777,14542,15310,20904,22468,17200,11530,14996,8810,18428,15634,23830,9464,14786,13421,13295,31403,21111,10870,6066,23129,12858,14047,19800,9153,8645,11799,34212,12211,9138,15262,25591,20524,10637,11360,8942,19232,8651,16180,26965,15939,19879,21386,20602,12888,17453,7736,19680,12009,16351,7643,37101,13678,15392,4909,10367,12852,16588,44027,10142,7935,11116,10643,17619,8641,9379,7938,9652,11993,8111,8950,28131,19270,19968,12614,7042,14846,13295,20555,13180,16221,22661,12623,14857,16281,6328
PS 36:1 (18:0/18:1),48573,5496,4404,953,5477,84463,72840,2984,6225,5502,882,1788,2638,3470,630,3246,2819,7481,2031,544,2730,823,18476,10081,6075,12451,2061,6833,2728,5342,4201,3619,1491,1906,7039,4437,89120,2341,2165,1927,1436,8304,7937,126576,3999,10750,3038,6638,2375,2890,5013,3372,5474,14842,3968,4878,1233,18916,5812,1649,1775,5276,2037,67284,9780,5233,3519,1216,1689,2717,2796,4060,1927,44555,4359,3218,2471,2724,1692,5502,5605,5169,2162,4014,3085,4359,6069,4277,5882,6015,717,5939,4593,4499,6269,710,6421,10020,14940,8608,5528,6051,5964,4192,2474,10636,13012,7492,11708,2265,4018,7513,2911,4036,2488,6891,3695,6599,4410,3479,4792,4029,2283,5202,4298,7957,2018,4814,3644,5965,4517,2409,5001,3128,2707,2620,7644,6624,15317,4358,1600,2354,3692,7296,4623,4215,2346,5645,6718,6282,13435,11234,7878,7691,7539,1024,11093,9751,2628,7078,3480,2431,2509,3620,5358,5778,3891,5700,6874,6044,7424,6646,85711,6318,10095,8174,4750,5302,6122,6908,13521,5870,10831,4493,13545,1055,4554,8950,10201,3694,6651,5788,26376,14052,7296,9167,5791,5912,12933,6828,13153,3366,6438,14314,3931,6937,6163,19772,2801,3154,8988,9125,6509,13999,4841,7716,8777,5769,8473,6480,6274,9578,1303,8165,7895,7346,9970,4352,7946,11057,13396,10593,811,4252,4974,6939,13783,5095,4535,815,3705,6162,2863,2130,11658,6374,2091,1777,1251,9049,3479,946,2382,6474,9462,4408,2339,3290,1689,5844,4931,3079,6420,3235,27543,5052,6546
PI 36:3 (18:1/18:2),22613,20203,18080,48250,23073,20345,18747,43716,43434,31177,21250,8174,17963,16518,15974,24928,9865,14945,32937,11486,15985,20651,28880,24742,13847,23672,21406,20968,23358,37178,27426,25229,21107,41820,23893,20783,20842,19270,27411,30863,26061,42705,28714,25018,22033,15174,30934,32990,36346,29241,18531,17966,29797,22550,16019,31955,24438,22064,33991,39853,16754,33922,45422,20489,27799,30896,32418,19540,17250,28382,25735,32836,19476,19606,23999,27265,28649,25058,9667,22760,21990,15240,18597,21525,30643,17236,21551,30849,21354,37786,26800,31879,41212,49897,23298,18536,48776,23176,26055,33908,29162,30676,21730,40572,20628,35191,42272,72502,21654,13002,28554,24413,15480,23982,15479,21708,27803,23851,28829,52565,28527,23962,12745,42234,20688,31591,18704,26673,15510,26469,27282,20006,21158,18211,22199,32340,19080,67284,25278,25648,32815,26675,36747,14456,57465,26978,17791,20262,48431,44322,30594,44902,77873,20707,22672,24510,22708,33618,26256,22070,27522,30848,15697,27106,25488,16180,46225,7589,17092,21366,18658,120128,44790,51001,34221,38916,34516,27276,27043,49820,23826,33054,23753,24097,33570,28192,27079,33848,18251,34541,30176,30668,26568,28127,26133,21077,18547,28747,40522,18282,54545,30401,29779,18274,21367,22220,21196,23394,31588,12479,65694,60268,15471,61096,34781,31345,23929,54921,11821,23075,37687,18763,37438,53381,31347,33458,28980,25412,47824,27158,40463,12316,38856,19141,34125,9322,51076,19741,22589,32628,32640,17517,32948,45955,36924,24684,20794,25998,24669,23546,12943,29381,29682,20037,23237,21654,36774,22542,28270,18120,45127,23867,30279,19496,17913,13812,17548
PE O-36:2 (18:1/18:1),28310,34561,20822,26887,45363,65836,37778,28767,54146,36985,21488,20364,32907,20799,15985,34624,27846,22441,32221,16092,27068,20580,35792,26178,34033,35764,20031,20648,28248,32418,14578,38499,11880,39370,37065,32814,34461,18818,29636,33833,24960,35474,62018,57762,28187,24143,30838,47787,16071,40347,38878,30363,21990,38800,28364,42760,15543,13912,52819,31235,37786,26598,22069,56767,41386,30973,44334,27448,25288,23395,23115,17747,29453,32639,26646,40533,46258,18418,18655,31677,24321,11752,39761,33222,40877,21121,30802,30611,26904,13009,5922,40668,28356,60694,27621,32649,25694,50709,25913,51508,31945,33292,45520,57659,30168,50872,61866,70701,26014,21448,28851,51735,39930,29018,21823,30873,22251,23312,30835,25771,13396,18028,16382,32920,24689,25238,12333,40174,20227,33418,26594,27376,27289,36436,40684,41344,26143,47339,28920,37347,30618,29421,19976,29688,35114,29286,33791,65742,46269,57885,49555,61819,52240,38695,34255,31614,50704,58953,29892,28734,18592,40135,27694,21830,16171,37970,27183,24332,30145,45093,33554,115748,45164,45105,49441,17088,47116,36170,25274,46835,48366,55527,43533,32651,49472,25078,28067,64247,51600,43007,45266,33210,50669,41289,52630,36910,32741,70350,62508,44448,55086,37010,34874,37193,22380,12737,21297,33634,42225,23626,16690,62303,39687,39912,35909,51195,34489,51290,31554,37353,95603,28277,30607,38123,36819,50248,42850,47131,40684,39734,35505,24641,43979,45124,48796,24668,43094,39070,34078,32034,31877,29347,34504,37806,50378,43699,27722,18936,25306,45933,48077,32111,35818,30878,61129,29810,24909,45367,25641,32494,20653,30796,42430,18057,31255,35909,11841
